"state","abbreviation","region","zip","latitude","longitude"
"Massachusetts","MA","Northeast","02210",42.347472,-71.039271
"Massachusetts","MA","Northeast","02215",42.347635,-71.103082
"Massachusetts","MA","Northeast","02301",42.078371,-71.042304
"Massachusetts","MA","Northeast","02302",42.088907,-70.998375
"Massachusetts","MA","Northeast","02322",42.13246,-71.054013
"Massachusetts","MA","Northeast","02324",41.972387,-70.978778
"Massachusetts","MA","Northeast","02330",41.878644,-70.743198
"Massachusetts","MA","Northeast","02332",42.044325,-70.706075
"Massachusetts","MA","Northeast","02333",42.037278,-70.940459
"Massachusetts","MA","Northeast","02338",42.002811,-70.863473
"Massachusetts","MA","Northeast","02339",42.122956,-70.85631
"Massachusetts","MA","Northeast","02341",42.050464,-70.867418
"Massachusetts","MA","Northeast","02343",42.140244,-70.997347
"Massachusetts","MA","Northeast","02346",41.878004,-70.869267
"Massachusetts","MA","Northeast","02347",41.834412,-70.957163
"Massachusetts","MA","Northeast","02351",42.119964,-70.957216
"Massachusetts","MA","Northeast","02356",42.060532,-71.119676
"Massachusetts","MA","Northeast","02357",42.054978,-71.080651
"Massachusetts","MA","Northeast","02359",42.067804,-70.805713
"Massachusetts","MA","Northeast","02360",41.882056,-70.63129
"Massachusetts","MA","Northeast","02364",41.987196,-70.741942
"Massachusetts","MA","Northeast","02366",41.850984,-70.654984
"Massachusetts","MA","Northeast","02367",41.9591,-70.802753
"Massachusetts","MA","Northeast","02368",42.176446,-71.051567
"Massachusetts","MA","Northeast","02370",42.130399,-70.910615
"Massachusetts","MA","Northeast","02375",42.003041,-71.076928
"Massachusetts","MA","Northeast","02379",42.021617,-71.026717
"Massachusetts","MA","Northeast","02382",42.078974,-70.93939
"Massachusetts","MA","Northeast","02420",42.457055,-71.215464
"Massachusetts","MA","Northeast","02421",42.438547,-71.239573
"Massachusetts","MA","Northeast","02445",42.325483,-71.135045
"Massachusetts","MA","Northeast","02446",42.343503,-71.122248
"Massachusetts","MA","Northeast","02451",42.397823,-71.255708
"Massachusetts","MA","Northeast","02452",42.392721,-71.213532
"Massachusetts","MA","Northeast","02453",42.369542,-71.240513
"Massachusetts","MA","Northeast","02457",42.299388,-71.274242
"Massachusetts","MA","Northeast","02458",42.353585,-71.188192
"Massachusetts","MA","Northeast","02459",42.314779,-71.192017
"Massachusetts","MA","Northeast","02460",42.351824,-71.20849
"Massachusetts","MA","Northeast","02461",42.317362,-71.206508
"Massachusetts","MA","Northeast","02462",42.328708,-71.2559
"Massachusetts","MA","Northeast","02464",42.312975,-71.218882
"Massachusetts","MA","Northeast","02465",42.348912,-71.22633
"Massachusetts","MA","Northeast","02466",42.344457,-71.248617
"Massachusetts","MA","Northeast","02467",42.314344,-71.152759
"Massachusetts","MA","Northeast","02468",42.328553,-71.22953
"Massachusetts","MA","Northeast","02472",42.369451,-71.177925
"Massachusetts","MA","Northeast","02474",42.420949,-71.15637
"Massachusetts","MA","Northeast","02476",42.415637,-71.17567
"Massachusetts","MA","Northeast","02478",42.395317,-71.180284
"Massachusetts","MA","Northeast","02481",42.311927,-71.275531
"Massachusetts","MA","Northeast","02482",42.293103,-71.298537
"Massachusetts","MA","Northeast","02492",42.276029,-71.244543
"Massachusetts","MA","Northeast","02493",42.360502,-71.303433
"Massachusetts","MA","Northeast","02494",42.29949,-71.232519
"Massachusetts","MA","Northeast","02532",41.751759,-70.597552
"Massachusetts","MA","Northeast","02534",41.668942,-70.619407
"Massachusetts","MA","Northeast","02535",41.337159,-70.761031
"Massachusetts","MA","Northeast","02536",41.596305,-70.567467
"Massachusetts","MA","Northeast","02537",41.728418,-70.435812
"Massachusetts","MA","Northeast","02538",41.777476,-70.642148
"Massachusetts","MA","Northeast","02539",41.377655,-70.52208
"Massachusetts","MA","Northeast","02540",41.573881,-70.632049
"Massachusetts","MA","Northeast","02542",41.707839,-70.54552
"Massachusetts","MA","Northeast","02543",41.478974,-70.766911
"Massachusetts","MA","Northeast","02553",41.711561,-70.622853
"Massachusetts","MA","Northeast","02554",41.291167,-70.092826
"Massachusetts","MA","Northeast","02556",41.639445,-70.624515
"Massachusetts","MA","Northeast","02557",41.441713,-70.576143
"Massachusetts","MA","Northeast","02558",41.745017,-70.653513
"Massachusetts","MA","Northeast","02559",41.690243,-70.616283
"Massachusetts","MA","Northeast","02561",41.766737,-70.540595
"Massachusetts","MA","Northeast","02562",41.787209,-70.526717
"Massachusetts","MA","Northeast","02563",41.728137,-70.476549
"Massachusetts","MA","Northeast","02564",41.271979,-69.984406
"Massachusetts","MA","Northeast","02568",41.458608,-70.613479
"Massachusetts","MA","Northeast","02571",41.761187,-70.695991
